Bac  3646.00A
cout 3646.00A
cref 3646.00A
H  1 4861.32A
Ca B 4861.32A
H  1 6562.80A
Ca B 6562.80A
H  1 4340.46A
Ca B 4340.46A
H  1 3889.05A
Ca B 3889.05A
H  1 1215.67A
Ca B 1215.67A
H  1 1.87510M
Ca B 1.87510M
H  1 1.28181M
Ca B 1.28181M
H  1 4.05115M
Ca B 4.05115M
H  1 2.62515M
Ca B 2.62515M
H  1 7.45782M
Ca B 7.45782M
H  1 12.3685M
Ca B 12.3685M
H  1 19.0567M
Ca B 19.0567M
He 1 5875.64A
Ca B 5875.64A
He 1 7281.35A
Ca B 7281.35A
He 1 7065.22A
Ca B 7065.22A
He 1 4471.49A
Ca B 4471.49A
He 1 6678.15A
Ca B 6678.15A
He 1 3888.64A
Ca B 3888.64A
BLND 1.08302M
He 1 2.05813M
Ca B 2.05813M
He 2 1640.41A
Ca B 1640.41A
He 2 4685.68A
Ca B 4685.68A
He 2 1.01235M
Ca B 1.01235M
C  1 8727.13A
C  1 9850.26A
C 1R 9850.00A
BLND 2326.00A
BLND 1335.00A
C 2R 1335.00A
C  2 1761.00A
BLND 6580.00A
C 2R 6580.00A
C  2 4267.00A
C  2 157.636M
C  3 977.000A
C  3 1906.68A
C  3 1908.73A
Blnd 1909.00A
C 3R 1909.00A
C  3 4649.00A
C  3 4069.00A
C  3 2296.90A
BLND 1549.00A
C 4R 1549.00A
C  4 4659.00A
N  1 5197.90A
N  1 5200.26A
Blnd 5199.00A
N 1R 5199.00A
N  2 5754.59A
N 2R 5755.00A
N 2T 5755.00A
N  2 5005.00A
N  2 6548.05A
N  2 6583.45A
Blnd 2141.00A
N  2 2142.77A
N  2 4041.00A
N  2 121.769M
N  2 205.283M
N  3 57.3238M
BLND 1750.00A
N  3 4379.00A
BLND 1486.00A
N  4 1718.55A
N  5 1242.80A
N  5 1238.82A
O  1 7773.00A
O  1 6300.30A
O  1 5577.34A
O  1 63.1679M
O  1 145.495M
O  2 3726.03A
O  2 3728.81A
Blnd 7323.00A
Blnd 7332.00A
O 2R 3726.00A
O 2R 3729.00A
O 2R 7323.00A
O 2R 7332.00A
BLND 3727.00A
BLND 7325.00A
BLND 2471.00A
O  2 4152.00A
O 2R 4341.00A
O 2P 4341.00A
O 2R 4651.00A
O  3 4363.21A
O 3C 4363.00A
O 3R 4363.00A
O  3 4958.91A
O  3 5006.84A
O  3 51.8004M
O  3 88.3323M
O  3 1660.81A
BLND 1666.00A
BLND 1402.00A
O  4 25.8863M
O  4 4632.00A
BLND 1218.00A
O  6 1031.91A
O  6 1037.61A
F  2 4789.45A
F  4 3996.92A
F  4 4059.90A
Ne 2 12.8101M
Ne 3 3868.76A
Ne 3 3967.47A
Ne 3 1814.56A
Ne 3 4011.68A
Ne 3 15.5509M
Ne 3 36.0036M
Ne 4 1601.61A
Ne 4 1601.45A
BLND 2424.00A
BLND 4720.00A
Ne 5 3345.82A
Ne 5 3425.88A
Ne 5 1574.70A
Ne 5 2973.13A
Ne 5 24.3109M
Ne 5 14.3178M
Ne 6 7.65019M
Na 3 7.31570M
Mg 2 2795.53A
Mg 2 2802.71A
Mg 4 4.48711M
Mg 5 5.60700M
Mg 5 13.5464M
Mg 5 2782.76A
Mg 7 5.49270M
Al 2 2669.15A
Al 2 2660.35A
Blnd 1860.00A
Si 2 34.8046M
BLND 2335.00A
Si 3 1892.03A
Si 3 1882.71A
Si 4 1393.75A
Si 6 1.96247M
Si 7 2.48071M
Si 7 6.51288M
S  2 4068.60A
S  2 4076.35A
S  2 6730.82A
S  2 6716.44A
S  2 1.02867M
S  2 1.03364M
S  2 1.03205M
S  2 1.03705M
S  3 6312.06A
S  3 9530.62A
S  3 9068.62A
S  3 18.7078M
S  3 33.4704M
S  4 10.5076M
S  4 1398.04A
BLND 1406.00A
S  5 1199.13A
S  5 1188.28A
Cl 2 8578.70A
Cl 2 9123.60A
Cl 2 6161.84A
Cl 2 14.3639M
Cl 2 33.2721M
Cl 3 5537.87A
Cl 3 5517.71A
Cl 3 3353.17A
Cl 3 3342.80A
Cl 3 8500.01A
Cl 3 8547.96A
Cl 3 8433.66A
Cl 3 8480.86A
BLND 8494.00A
Cl 4 7530.54A
Cl 4 8045.62A
Cl 4 20.3197M
Cl 4 11.7629M
Cl 5 6.70733M
Ar 2 6.98337M
Ar 3 7135.79A
Ar 3 7751.11A
Ar 3 5191.82A
Ar 3 3109.18A
Ar 3 8.98898M
Ar 3 21.8253M
Ar 4 7170.70A
Ar 4 4711.26A
Ar 4 4740.12A
Ar 4 2853.66A
Ar 4 2868.22A
Ar 5 7005.83A
Ar 5 13.0985M
Ar 5 7.89971M
Ar 5 6435.12A
Ar 6 4.52800M
K  6 5602.44A
K  6 6228.57A
K  6 8.82061M
K  6 5.57324M
Ca 2 7291.47A
Ca 2 7323.89A
Ca 2 8662.14A
Ca 2 8498.02A
Ca 2 8542.09A
Fe 2 1.64355M
Fe 2 25.9813M
Fe 2 5.33871M
Fe 2 4.11387M
Fe 2 35.3391M
Fe 2 8616.95A
Fe 3 4607.03A
Fe 3 4667.01A
Fe 3 4658.05A
Fe 3 4701.53A
Fe 3 4733.91A
Fe 3 4881.00A
Fe 3 5270.40A
Fe 3 4754.69A
Fe 4 2835.74A
Fe 6 5145.75A
Fe 7 5720.71A
Fe 7 4988.55A
Fe 7 6086.97A
Fe10 6374.53A
Fe11 7891.86A
F12  12.0000M
F25  25.0000M
F60  60.0000M
F100 100.000M
MIPS 24.0000M
MIPS 70.0000M
MIPS 160.000M
IRAC 3.60000M
IRAC 4.50000M
IRAC 5.80000M
IRAC 8.00000M
